文件路径,识别结果,位置,置信度,用时
BloodCells_SIXU_A_03564.jpg,中性粒细胞,"[219, 236, 334, 399]",0.8130714893341064,0.015374422073364258
Camera: 0,红细胞,"[571, 296, 640, 319]",0.2988002896308899,0.014999151229858398
Camera: 0,红细胞,"[607, 319, 639, 354]",0.3505079746246338,0.014999151229858398
Camera: 0,红细胞,"[447, 0, 524, 51]",0.5554320216178894,0.014999151229858398
Camera: 0,红细胞,"[448, 0, 566, 94]",0.5667828917503357,0.014999151229858398
Camera: 0,红细胞,"[448, 249, 499, 318]",0.6179772019386292,0.014999151229858398
Camera: 0,红细胞,"[606, 137, 640, 306]",0.6423091292381287,0.014999151229858398
Camera: 0,红细胞,"[576, 494, 639, 550]",0.7881647348403931,0.014999151229858398
Camera: 0,红细胞,"[446, 46, 502, 171]",0.8068692684173584,0.014999151229858398
Camera: 0,红细胞,"[563, 3, 640, 151]",0.8802374005317688,0.014999151229858398
Camera: 0,红细胞,"[515, 318, 619, 380]",0.8896825909614563,0.014999151229858398
Camera: 0,中性粒细胞,"[305, 330, 448, 550]",0.8973203897476196,0.014999151229858398
Camera: 0,中性粒细胞,"[224, 106, 338, 319]",0.9001295566558838,0.014999151229858398
Camera: 0,红细胞,"[526, 353, 640, 488]",0.905661404132843,0.014999151229858398
Camera: 0,嗜碱细胞,"[449, 124, 633, 318]",0.9150208234786987,0.014999151229858398
Camera: 0,红细胞,"[448, 385, 559, 538]",0.9244831204414368,0.014999151229858398
Camera: 0,红细胞,"[571, 296, 640, 319]",0.29875004291534424,0.08990025520324707
Camera: 0,红细胞,"[607, 319, 639, 354]",0.35055631399154663,0.08990025520324707
Camera: 0,红细胞,"[447, 0, 524, 51]",0.5548799633979797,0.08990025520324707
Camera: 0,红细胞,"[448, 0, 566, 94]",0.5666077136993408,0.08990025520324707
Camera: 0,红细胞,"[448, 249, 499, 318]",0.6178799271583557,0.08990025520324707
Camera: 0,红细胞,"[606, 137, 640, 306]",0.6423527598381042,0.08990025520324707
Camera: 0,红细胞,"[576, 494, 639, 550]",0.7881395220756531,0.08990025520324707
Camera: 0,红细胞,"[446, 46, 502, 171]",0.8068753480911255,0.08990025520324707
Camera: 0,红细胞,"[563, 3, 640, 151]",0.8801284432411194,0.08990025520324707
Camera: 0,红细胞,"[515, 318, 619, 380]",0.8896743059158325,0.08990025520324707
Camera: 0,中性粒细胞,"[305, 330, 448, 550]",0.8973499536514282,0.08990025520324707
Camera: 0,中性粒细胞,"[224, 106, 338, 319]",0.9001404047012329,0.08990025520324707
Camera: 0,红细胞,"[526, 353, 640, 488]",0.9056963920593262,0.08990025520324707
Camera: 0,嗜碱细胞,"[449, 124, 633, 318]",0.9150255918502808,0.08990025520324707
Camera: 0,红细胞,"[448, 385, 559, 538]",0.9245006442070007,0.08990025520324707
Camera: 0,红细胞,"[571, 296, 640, 319]",0.29875412583351135,0.018998384475708008
Camera: 0,红细胞,"[607, 319, 639, 354]",0.35061198472976685,0.018998384475708008
Camera: 0,红细胞,"[447, 0, 524, 51]",0.5564408898353577,0.018998384475708008
Camera: 0,红细胞,"[448, 0, 566, 94]",0.5641839504241943,0.018998384475708008
Camera: 0,红细胞,"[448, 249, 499, 318]",0.6179164052009583,0.018998384475708008
Camera: 0,红细胞,"[606, 137, 640, 306]",0.6423183083534241,0.018998384475708008
Camera: 0,红细胞,"[576, 494, 639, 550]",0.788270115852356,0.018998384475708008
Camera: 0,红细胞,"[446, 46, 502, 171]",0.8068506717681885,0.018998384475708008
Camera: 0,红细胞,"[563, 3, 640, 151]",0.8801059126853943,0.018998384475708008
Camera: 0,红细胞,"[515, 318, 619, 380]",0.8897069096565247,0.018998384475708008
Camera: 0,中性粒细胞,"[305, 330, 448, 550]",0.897398054599762,0.018998384475708008
Camera: 0,中性粒细胞,"[224, 106, 338, 319]",0.9001559019088745,0.018998384475708008
Camera: 0,红细胞,"[526, 353, 640, 488]",0.9056580662727356,0.018998384475708008
Camera: 0,嗜碱细胞,"[449, 124, 633, 318]",0.9150163531303406,0.018998384475708008
Camera: 0,红细胞,"[448, 385, 559, 538]",0.924513578414917,0.018998384475708008
Camera: 0,红细胞,"[571, 296, 640, 319]",0.298675537109375,0.021999597549438477
Camera: 0,红细胞,"[607, 319, 639, 354]",0.3504061996936798,0.021999597549438477
Camera: 0,红细胞,"[447, 0, 524, 51]",0.5569981932640076,0.021999597549438477
Camera: 0,红细胞,"[448, 0, 566, 94]",0.5633386969566345,0.021999597549438477
Camera: 0,红细胞,"[448, 249, 499, 318]",0.6179558038711548,0.021999597549438477
Camera: 0,红细胞,"[606, 137, 640, 306]",0.6423711776733398,0.021999597549438477
Camera: 0,红细胞,"[576, 494, 639, 550]",0.7882285714149475,0.021999597549438477
